code,name,board_type,subtype,source,cid,updated_at
BK1393,工程机械整机,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1392,工程机械器件,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1391,综合环境治理,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1390,水务及水治理,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1389,固废治理,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1388,大气治理,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1387,环保设备Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1386,军工电子Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1385,航天装备Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1384,航空装备Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1383,航海装备Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1382,地面兵装Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1381,燃气Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1380,水力发电,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1379,热力服务,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1378,其他能源发电,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1377,火力发电,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1376,核力发电,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1375,光伏发电,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1374,风力发电,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1373,电能综合服务,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1372,冶钢辅料,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1371,铁矿石,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1370,特钢Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1369,长材,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1368,钢铁管材,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1367,板材,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1366,证券Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1365,租赁,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1364,资产管理,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1363,信托,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1361,期货,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1360,金融信息服务,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1359,金融控股,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1358,保险Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1357,钟表珠宝,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1356,其他饰品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1355,运动服装,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1354,鞋帽及其他,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1353,家纺,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1352,非运动服装,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1351,印染,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1350,其他纺织,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1349,棉纺,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1348,辅料,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1347,纺织鞋类制造,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1346,住宅开发,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1345,商业地产,industry,industry,eastmoney,,2026-07-20 21:15:26
